SubmissionDate,meta-instanceID,meta-timeStart,meta-timeEnd,Noise-audio,Noise-Noise_Measurement,Noise-Noise_Source,lat,lng,Noise-Location-Altitude,Noise-Location-Accuracy,Noise-Image,Noise-Comment,KEY,SubmitterID,SubmitterName,AttachmentsPresent,AttachmentsExpected,Status,ReviewState,DeviceID,Edits,FormVersion
2023-04-10T22:06:36.081Z,uuid:6809bcc5-c076-42cb-b00d-bbb452f2e614,2023-04-10T19:44:56.021+03:00,2023-04-10T19:45:43.405+03:00,1681145131914.wav,50,Motor-vehicle-horn Bodaboda-Motorcycle,0.096552,32.5061916,1162.8489691678135,4.45,,,uuid:6809bcc5-c076-42cb-b00d-bbb452f2e614,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:06:34.764Z,uuid:c66a332f-bd62-4d40-93b6-a2f11e6f78e3,2023-04-10T19:44:22.720+03:00,2023-04-10T19:44:53.168+03:00,1681145074725.wav,45,Bodaboda-Motorcycle Mobile-music,0.0965681,32.5065444,1142.6454572196849,4.833,,,uuid:c66a332f-bd62-4d40-93b6-a2f11e6f78e3,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:06:33.543Z,uuid:58820cd6-d42e-431e-836e-1313a8a1ea28,2023-04-10T19:43:48.480+03:00,2023-04-10T19:44:20.874+03:00,1681145045085.wav,50,Motor-vehicle-horn Bodaboda-Motorcycle Mobile-music,0.0966202,32.5067614,1161.7493555469152,5.05,,,uuid:58820cd6-d42e-431e-836e-1313a8a1ea28,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:06:32.551Z,uuid:f44b7446-6d70-4c4c-85e2-0c93bad97c05,2023-04-10T19:43:02.169+03:00,2023-04-10T19:43:43.970+03:00,1681145011861.wav,68,Mobile-music,0.09652,32.5070267,1161.7918911233778,4.9,,,uuid:f44b7446-6d70-4c4c-85e2-0c93bad97c05,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:06:31.508Z,uuid:32f48019-59d1-4e14-9500-e0a89c46aed9,2023-04-10T19:35:09.392+03:00,2023-04-10T19:43:00.036+03:00,1681144966212.wav,38,Motor-vehicle-horn,0.0964533,32.5075133,1176.0796231892941,4.8,,,uuid:32f48019-59d1-4e14-9500-e0a89c46aed9,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:05:52.758Z,uuid:f215416c-b39d-44f4-9386-8af2ae2b2595,2023-04-10T20:16:32.280+03:00,2023-04-10T20:16:59.992+03:00,1681147007404.wav,45,Bodaboda-Motorcycle Other,0.0912351,32.496153,1161.0581438969762,4.766,,,uuid:f215416c-b39d-44f4-9386-8af2ae2b2595,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:05:51.765Z,uuid:333e3701-f46b-478c-9752-82e934eed018,2023-04-10T20:15:32.013+03:00,2023-04-10T20:15:58.978+03:00,1681146944653.wav,48,Bodaboda-Motorcycle Mobile-music,0.0915025,32.4972957,1149.7023653823305,3.9,,,uuid:333e3701-f46b-478c-9752-82e934eed018,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:05:50.761Z,uuid:6d7b9b26-85af-4b19-9017-3347717559db,2023-04-10T20:14:46.097+03:00,2023-04-10T20:15:29.942+03:00,1681146915260.wav,47,Motor-vehicle-horn Bodaboda-Motorcycle Car-alarm,0.0915057,32.4973237,1150.8618728841277,3.9,,,uuid:6d7b9b26-85af-4b19-9017-3347717559db,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:05:49.844Z,uuid:69865f2e-3d87-4dc2-a40c-a5ec2a5b8f75,2023-04-10T20:14:13.724+03:00,2023-04-10T20:14:44.175+03:00,1681146868305.wav,55,Bodaboda-Motorcycle Motor-vehicle-horn Car-alarm,0.0915065,32.4973355,1169.0809607840636,3.9,,,uuid:69865f2e-3d87-4dc2-a40c-a5ec2a5b8f75,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:05:48.933Z,uuid:c4ab47a5-4e5f-45cf-a7d2-b682841207fc,2023-04-10T20:13:39.013+03:00,2023-04-10T20:14:11.057+03:00,1681146838130.wav,56,Mobile-music,0.0916381,32.4976713,1178.877779550729,4.9,,,uuid:c4ab47a5-4e5f-45cf-a7d2-b682841207fc,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:05:47.907Z,uuid:16ab171a-c002-4b37-bc04-e782ae10d316,2023-04-10T20:13:12.829+03:00,2023-04-10T20:13:36.631+03:00,1681146804270.wav,46,Bodaboda-Motorcycle Other,0.0917887,32.4978098,1158.146880670591,3.9,,,uuid:16ab171a-c002-4b37-bc04-e782ae10d316,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:05:46.916Z,uuid:59b905ae-b6e9-46f9-85bc-4783de19b418,2023-04-10T20:12:07.307+03:00,2023-04-10T20:13:07.843+03:00,1681146771316.wav,45,Bodaboda-Motorcycle,0.091982,32.4987258,1153.279528183486,4.15,,,uuid:59b905ae-b6e9-46f9-85bc-4783de19b418,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:05:45.927Z,uuid:696e8ad4-f8e4-4991-b901-e9da8ae28e91,2023-04-10T20:11:35.814+03:00,2023-04-10T20:12:01.609+03:00,1681146709588.wav,50,Mobile-music,0.092015,32.49885,1165.7293472023161,3.9,,,uuid:696e8ad4-f8e4-4991-b901-e9da8ae28e91,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:05:44.976Z,uuid:0887674a-0d9f-4f9f-8646-a82b26707146,2023-04-10T20:10:33.524+03:00,2023-04-10T20:11:22.675+03:00,1681146667527.wav,54,Bodaboda-Motorcycle Car-alarm Motor-vehicle-horn,0.0920241,32.4988654,1167.7025103160772,6.2,,,uuid:0887674a-0d9f-4f9f-8646-a82b26707146,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:05:44.032Z,uuid:d9a24d3e-4f63-4430-baac-fd75b151eae7,2023-04-10T20:09:46.079+03:00,2023-04-10T20:10:28.551+03:00,1681146614257.wav,48,Community-radio Other,0.092243,32.4991988,1151.514125189635,3.9,,,uuid:d9a24d3e-4f63-4430-baac-fd75b151eae7,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:05:43.052Z,uuid:65870432-3a80-4ebc-8e76-31e9b0ca10f0,2023-04-10T20:09:04.838+03:00,2023-04-10T20:09:44.107+03:00,1681146564318.wav,52,Motor-vehicle-horn Car-alarm,0.0928076,32.499723,1165.8127107256403,3.9,,,uuid:65870432-3a80-4ebc-8e76-31e9b0ca10f0,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:05:42.093Z,uuid:c9af7a44-7d3f-4ad6-872d-b195392996f5,2023-04-10T20:08:20.910+03:00,2023-04-10T20:08:52.075+03:00,1681146516692.wav,50,Motor-vehicle-horn Bodaboda-Motorcycle Community-radio,0.0928246,32.499765,1169.9237275849239,5.025,,,uuid:c9af7a44-7d3f-4ad6-872d-b195392996f5,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:05:41.015Z,uuid:97ac553f-4c99-414c-b003-d75caba4dde6,2023-04-10T20:07:44.623+03:00,2023-04-10T20:08:18.915+03:00,1681146485962.wav,48,Motor-vehicle-horn Bodaboda-Motorcycle Car-alarm Other,0.093041,32.4999919,1169.4013492457932,3.9,,,uuid:97ac553f-4c99-414c-b003-d75caba4dde6,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:05:40.090Z,uuid:e2d565e2-0431-42d3-a34b-9c774e989c97,2023-04-10T20:07:02.118+03:00,2023-04-10T20:07:36.495+03:00,1681146434839.wav,52,Mobile-music,0.0933688,32.5006119,1161.2832614572853,4.35,,,uuid:e2d565e2-0431-42d3-a34b-9c774e989c97,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:05:39.142Z,uuid:4bd4539c-4b46-42dc-86d9-45dd535c9930,2023-04-10T20:06:26.555+03:00,2023-04-10T20:06:59.168+03:00,1681146398786.wav,65,Night-Club,0.0934841,32.5006748,1176.253206924106,4.6,,,uuid:4bd4539c-4b46-42dc-86d9-45dd535c9930,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:05:38.210Z,uuid:aced72f7-11e9-4a70-b34a-a1c70338cb84,2023-04-10T20:05:43.172+03:00,2023-04-10T20:06:11.345+03:00,1681146357618.wav,50,Motor-vehicle-horn Car-alarm,0.0935987,32.5007983,1150.3634348472563,5.0,,,uuid:aced72f7-11e9-4a70-b34a-a1c70338cb84,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:05:37.218Z,uuid:343442ce-ae28-4eab-b8d9-23d9bd96581c,2023-04-10T20:04:56.711+03:00,2023-04-10T20:05:33.714+03:00,1681146313154.wav,48,Community-radio Other,0.093751,32.5009916,1156.1771729191428,5.625,,,uuid:343442ce-ae28-4eab-b8d9-23d9bd96581c,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:05:36.206Z,uuid:6a4d125e-4e8a-41d1-ac84-543cb1e04a50,2023-04-10T20:04:11.235+03:00,2023-04-10T20:04:54.503+03:00,1681146263651.wav,55,,0.0938484,32.5011682,1159.3872271480345,6.225,,,uuid:6a4d125e-4e8a-41d1-ac84-543cb1e04a50,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:05:35.258Z,uuid:ead4b7a5-9123-49b1-a87e-cb29548c5536,2023-04-10T20:03:07.206+03:00,2023-04-10T20:04:07.175+03:00,1681146202922.wav,51,Bar-and-Restaurant,0.0948529,32.5020521,1153.6535667390629,7.6,,,uuid:ead4b7a5-9123-49b1-a87e-cb29548c5536,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:05:34.250Z,uuid:82cc18cc-aa5b-4d8f-b39e-50d7c518f330,2023-04-10T20:02:32.303+03:00,2023-04-10T20:03:04.535+03:00,1681146167011.wav,46,Mobile-music Motor-vehicle-horn Other,0.0943443,32.5015833,1161.4049755823933,4.0,,,uuid:82cc18cc-aa5b-4d8f-b39e-50d7c518f330,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:05:32.470Z,uuid:8df5a88f-c623-4545-951b-02c3dab8d7fb,2023-04-10T19:58:43.340+03:00,2023-04-10T20:02:26.902+03:00,1681146127481.wav,46,Motor-vehicle-horn Bodaboda-Motorcycle,0.094573,32.501878,1157.0384991507353,4.2,,,uuid:8df5a88f-c623-4545-951b-02c3dab8d7fb,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:05:31.494Z,uuid:8f07cb40-5997-4e97-8408-7942afd7db32,2023-04-10T19:58:13.823+03:00,2023-04-10T19:58:41.162+03:00,1681145906131.wav,50,Motor-vehicle-horn,0.0948074,32.5022982,1150.4516870705747,4.5,,,uuid:8f07cb40-5997-4e97-8408-7942afd7db32,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:05:30.569Z,uuid:d2743218-7fbd-43ec-9fd9-06d12d6267e6,2023-04-10T19:55:01.976+03:00,2023-04-10T19:55:32.885+03:00,1681145714099.wav,45,Motor-vehicle-horn Bodaboda-Motorcycle Car-alarm,0.0950581,32.5025209,1162.700194207077,3.9,,,uuid:d2743218-7fbd-43ec-9fd9-06d12d6267e6,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:04:55.133Z,uuid:e5033227-0856-4f82-b45e-6178fd281ff6,2023-04-10T19:34:34.925+03:00,2023-04-10T19:35:03.875+03:00,1681144492546.wav,40,Bodaboda-Motorcycle,0.098242,32.5077519,1153.602774880976,3.9,,,uuid:e5033227-0856-4f82-b45e-6178fd281ff6,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:04:53.834Z,uuid:7b4a4d12-5b30-45f1-97a1-dc1b13414610,2023-04-10T19:33:42.294+03:00,2023-04-10T19:34:32.685+03:00,1681144458210.wav,49,Motor-vehicle-horn Bar-and-Restaurant,0.0980239,32.5076594,1161.7308608180256,4.9,,,uuid:7b4a4d12-5b30-45f1-97a1-dc1b13414610,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:04:52.618Z,uuid:5b8b5d44-bbcf-4ea1-a62a-9b415005b817,2023-04-10T19:33:07.684+03:00,2023-04-10T19:33:38.417+03:00,1681144400006.wav,45,Motor-vehicle-horn Bodaboda-Motorcycle,0.0975949,32.5073279,1159.650382032763,4.4,,,uuid:5b8b5d44-bbcf-4ea1-a62a-9b415005b817,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:04:51.236Z,uuid:d635d344-add2-4a81-a8a5-545705899326,2023-04-10T19:32:35.704+03:00,2023-04-10T19:33:05.748+03:00,1681144373771.wav,40,Mobile-music,0.0976512,32.5071718,1163.6717500009286,4.45,,,uuid:d635d344-add2-4a81-a8a5-545705899326,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:04:50.167Z,uuid:3852b820-3f25-48fd-b2bc-06e11bafb32d,2023-04-10T19:31:49.932+03:00,2023-04-10T19:32:33.299+03:00,1681144329832.wav,54,Night-Club,0.0975513,32.506917,1155.7970547862642,4.85,,,uuid:3852b820-3f25-48fd-b2bc-06e11bafb32d,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:04:48.759Z,uuid:73e745d4-f4aa-44b4-acf3-22bcee5c75d5,2023-04-10T19:31:20.110+03:00,2023-04-10T19:31:43.627+03:00,1681144290292.wav,41,Motor-vehicle-horn,0.0975117,32.5066283,1168.3541690076033,4.5,,,uuid:73e745d4-f4aa-44b4-acf3-22bcee5c75d5,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:04:47.698Z,uuid:e4fab949-a421-4694-a228-148cc1ab233b,2023-04-10T19:30:40.632+03:00,2023-04-10T19:31:18.384+03:00,1681144266711.wav,40,Bar-and-Restaurant,0.0974204,32.5063648,1157.586749744593,4.7,,,uuid:e4fab949-a421-4694-a228-148cc1ab233b,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:04:46.523Z,uuid:094f1483-75f4-4c52-89f5-f45f61b72a86,2023-04-10T19:30:02.633+03:00,2023-04-10T19:30:26.473+03:00,1681144215138.wav,48,Mobile-music,0.0973838,32.5061781,1141.0617401541283,3.9,,,uuid:094f1483-75f4-4c52-89f5-f45f61b72a86,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:04:45.300Z,uuid:38f276f3-a4ba-435b-b910-5d2e3c1cd3bc,2023-04-10T19:28:34.718+03:00,2023-04-10T19:29:07.252+03:00,1681144129730.wav,52,Motor-vehicle-horn,0.0975311,32.5057805,1139.0089954943462,4.25,,,uuid:38f276f3-a4ba-435b-b910-5d2e3c1cd3bc,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:04:43.938Z,uuid:e30f8d40-22eb-4d97-91f2-97dca7b3b821,2023-04-10T19:28:07.278+03:00,2023-04-10T19:28:30.497+03:00,1681144098393.wav,50,Siren-Ambulance-Police,0.0978256,32.5057507,1147.864363300151,4.2,,,uuid:e30f8d40-22eb-4d97-91f2-97dca7b3b821,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:04:42.650Z,uuid:e4afa1f5-a860-4ed4-9d3b-cf93443d32a5,2023-04-10T19:26:49.488+03:00,2023-04-10T19:28:05.374+03:00,1681144075169.wav,49,Roadside-preacher,0.097888,32.5059722,1164.518700078657,4.55,,,uuid:e4afa1f5-a860-4ed4-9d3b-cf93443d32a5,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:04:41.337Z,uuid:385d5606-f9fb-48aa-844b-7ea3d5c5b224,2023-04-10T19:26:16.611+03:00,2023-04-10T19:26:47.500+03:00,1681143991811.wav,54,Motor-vehicle-horn Bodaboda-Motorcycle,0.0982546,32.5056139,1143.2391212978796,3.9,,,uuid:385d5606-f9fb-48aa-844b-7ea3d5c5b224,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:04:39.779Z,uuid:557c4e63-e56b-4cab-87e2-208d2973e059,2023-04-10T19:25:36.082+03:00,2023-04-10T19:26:08.283+03:00,1681143956255.wav,45,Bodaboda-Motorcycle,0.0983379,32.5056504,1150.0615801014555,3.15,,,uuid:557c4e63-e56b-4cab-87e2-208d2973e059,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:04:38.424Z,uuid:6a82d025-5d06-42a6-9038-a17c845aca57,2023-04-10T19:25:01.381+03:00,2023-04-10T19:25:30.339+03:00,1681143914961.wav,55,Car-alarm Motor-vehicle-horn Bodaboda-Motorcycle Night-Club,0.0984769,32.505718,1147.374934543754,4.05,,,uuid:6a82d025-5d06-42a6-9038-a17c845aca57,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:04:36.964Z,uuid:5946e61f-2b5b-4cab-b5fd-a72f679f3cb8,2023-04-10T19:24:25.909+03:00,2023-04-10T19:24:59.555+03:00,1681143886276.wav,48,Bar-and-Restaurant,0.0986101,32.5059346,1150.3666391664005,4.4,,,uuid:5946e61f-2b5b-4cab-b5fd-a72f679f3cb8,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:04:35.395Z,uuid:0ffb2fb7-48d0-4c7f-8343-8ef068ed8151,2023-04-10T19:23:48.209+03:00,2023-04-10T19:24:22.704+03:00,1681143847686.wav,50,Motor-vehicle-horn Bodaboda-Motorcycle,0.0988399,32.5060477,1163.6234640645944,4.55,,,uuid:0ffb2fb7-48d0-4c7f-8343-8ef068ed8151,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:04:33.581Z,uuid:f1574a80-1057-4a75-ae9d-34996af6cc73,2023-04-10T19:22:53.903+03:00,2023-04-10T19:23:20.565+03:00,1681143785810.wav,54,Bar-and-Restaurant Night-Club,0.0993653,32.5059766,1144.5714335073894,4.7,,,uuid:f1574a80-1057-4a75-ae9d-34996af6cc73,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:04:32.076Z,uuid:f7f98694-77dc-4313-951d-0d2e85b6e272,2023-04-10T19:11:02.122+03:00,2023-04-10T19:21:43.057+03:00,1681143683942.wav,40,Bodaboda-Motorcycle,0.1001092,32.5060018,1125.9582930934293,4.833,,,uuid:f7f98694-77dc-4313-951d-0d2e85b6e272,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:04:30.459Z,uuid:26de98c1-0926-41ae-a678-bc8e4aecc36d,2023-04-10T19:09:23.919+03:00,2023-04-10T19:10:58.983+03:00,1681143041546.wav,44,Bar-and-Restaurant Night-Club,0.1036167,32.5027,1155.3038394655514,4.9,,,uuid:26de98c1-0926-41ae-a678-bc8e4aecc36d,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:04:28.642Z,uuid:e2e99f01-a763-4667-9254-bb9c37682688,2023-04-10T19:05:52.703+03:00,2023-04-10T19:07:05.626+03:00,1681142811161.wav,34,Bodaboda-Motorcycle,0.1054093,32.5014612,1161.3935578366406,4.0,,,uuid:e2e99f01-a763-4667-9254-bb9c37682688,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:04:27.253Z,uuid:6cfa457b-5b72-4a4a-b130-6dc85040a73b,2023-04-10T19:05:02.998+03:00,2023-04-10T19:05:50.662+03:00,1681142736574.wav,29,Animal Other,0.1050587,32.5016763,1180.7192086096838,4.95,,,uuid:6cfa457b-5b72-4a4a-b130-6dc85040a73b,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:04:25.635Z,uuid:7ad898d7-141d-435c-8ecb-1bc7d7532f23,2023-04-10T19:04:14.610+03:00,2023-04-10T19:05:00.730+03:00,1681142687760.wav,34,Bodaboda-Motorcycle Other,0.104756,32.5018418,1168.1644919386272,4.45,,,uuid:7ad898d7-141d-435c-8ecb-1bc7d7532f23,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:04:23.600Z,uuid:77d360c3-bc24-4756-acf2-3684a1237474,2023-04-10T19:03:19.733+03:00,2023-04-10T19:04:12.085+03:00,1681142629269.wav,45,Motor-vehicle-horn,0.1043859,32.5020173,1152.3406189741495,4.25,,,uuid:77d360c3-bc24-4756-acf2-3684a1237474,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:04:21.673Z,uuid:2dcd6aa7-3f22-4919-ba6d-04ccfed69ea1,2023-04-10T19:02:41.172+03:00,2023-04-10T19:03:17.491+03:00,1681142586401.wav,41,Bodaboda-Motorcycle,0.1040258,32.5022395,1157.177211874875,3.9,,,uuid:2dcd6aa7-3f22-4919-ba6d-04ccfed69ea1,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:04:19.512Z,uuid:b697e77c-c970-4eb8-9754-913dcad536cd,2023-04-10T19:01:46.255+03:00,2023-04-10T19:02:39.294+03:00,1681142534016.wav,45,Bodaboda-Motorcycle,0.1037664,32.5025357,1148.8733563594521,4.45,,,uuid:b697e77c-c970-4eb8-9754-913dcad536cd,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:04:17.134Z,uuid:d4776dc7-7545-4e35-a533-c830a840c5ad,2023-04-10T19:00:59.152+03:00,2023-04-10T19:01:44.368+03:00,1681142493687.wav,39,Motor-vehicle-horn,0.1035078,32.5026054,1144.9337270666263,4.15,,,uuid:d4776dc7-7545-4e35-a533-c830a840c5ad,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
2023-04-10T22:04:15.667Z,uuid:ffa3493e-4e5a-445e-844b-07a617446c00,2023-04-10T19:00:23.266+03:00,2023-04-10T19:00:48.179+03:00,1681142438293.wav,40,Motor-vehicle-horn,0.103145,32.5030817,1178.9141842387635,3.9,,,uuid:ffa3493e-4e5a-445e-844b-07a617446c00,20,John Morris,1,1,,,collect:PxA18nsXnbUnpFuP,0,V2.9
